,mean test r,Parcellation,Feature Class,ROI / Num Features,Weighting,Trait,Subject Selection
418,-0.07426143384640035,079,PCA,1,FA,Cognition,all
419,-0.11239875449158056,079,PCA,2,FA,Cognition,all
420,-0.03270152502790525,079,PCA,3,FA,Cognition,all
421,-0.034002440876763705,079,PCA,4,FA,Cognition,all
422,0.08910903998105885,079,PCA,5,FA,Cognition,all
423,0.04730980159933296,079,PCA,10,FA,Cognition,all
424,0.0379725644117136,079,PCA,15,FA,Cognition,all
425,0.026096703795262643,079,PCA,20,FA,Cognition,all
426,0.08573251924996293,079,PCA,30,FA,Cognition,all
427,0.09894946734068995,079,PCA,40,FA,Cognition,all
428,0.10080511571346241,079,PCA,50,FA,Cognition,all
429,0.09147571987489003,079,PCA,60,FA,Cognition,all
430,0.08338947932854737,079,PCA,70,FA,Cognition,all
431,0.07494233236167529,079,PCA,80,FA,Cognition,all
432,0.07347143362595839,079,PCA,90,FA,Cognition,all
433,0.07133187887345865,079,PCA,100,FA,Cognition,all
434,0.06348359458070747,079,PCA,150,FA,Cognition,all
435,0.05940802017917788,079,PCA,200,FA,Cognition,all
436,0.07499896856674518,079,PCA,79,FA,Cognition,all
437,-0.022326606206536884,079,PCA,1,NOS,Cognition,all
438,-0.05671159444036791,079,PCA,2,NOS,Cognition,all
439,-0.08207644211725096,079,PCA,3,NOS,Cognition,all
440,0.0031737881797810246,079,PCA,4,NOS,Cognition,all
441,-0.015511588399523792,079,PCA,5,NOS,Cognition,all
442,-0.07649369775294391,079,PCA,10,NOS,Cognition,all
443,0.10609631895631516,079,PCA,15,NOS,Cognition,all
444,0.10798052604669765,079,PCA,20,NOS,Cognition,all
445,0.14217590574043715,079,PCA,30,NOS,Cognition,all
446,0.19606132471295779,079,PCA,40,NOS,Cognition,all
447,0.21319488015306517,079,PCA,50,NOS,Cognition,all
